"Organ","OR (95% CI)","FDR"
"Adipose","1.32 (1.12-1.56)",0.00134712105435015
"Brain","1.61 (1.38-1.88)",3.03078770667033e-09
"Cardiovascular","1.75 (1.52-2.01)",5.62642426915781e-14
"Endocrine","1.64 (1.42-1.90)",6.87094152672581e-11
"Gastrointestinal","1.53 (1.32-1.77)",1.93738567160255e-08
"Immune","1.61 (1.40-1.84)",3.77109415420565e-11
"Kidney and Bladder","1.90 (1.66-2.17)",2.46199034422406e-19
"Liver","1.56 (1.33-1.84)",1.02914664146723e-07
"Lung","1.27 (1.07-1.50)",0.00688489580257653
"Muscle","1.29 (1.06-1.56)",0.0103310723711524
"Nerve","1.50 (1.25-1.79)",1.41574701144747e-05
"Ovary","1.45 (1.10-1.90)",0.00944197885538785
"Pancreas","1.79 (1.47-2.19)",1.93738567160255e-08
"Prostate","1.34 (1.06-1.70)",0.0163332758031988
"Skin","1.43 (1.21-1.68)",3.06440274695387e-05
