"Organ","OR (95% CI)","FDR"
"Adipose","1.22 (0.96-1.55)",0.26015245164125
"Brain","1.25 (1.01-1.55)",0.131360127840462
"Cardiovascular","0.91 (0.70-1.18)",0.813972468754731
"Endocrine","0.99 (0.76-1.29)",0.969820059998024
"Gastrointestinal","1.24 (1.02-1.51)",0.131360127840462
"Immune","1.00 (0.79-1.28)",0.969820059998024
"Kidney and Bladder","1.03 (0.80-1.31)",0.969820059998024
"Liver","1.04 (0.84-1.29)",0.969820059998024
"Lung","1.23 (0.96-1.57)",0.26015245164125
"Muscle","0.99 (0.75-1.31)",0.969820059998024
"Nerve","0.95 (0.75-1.20)",0.969820059998024
"Ovary",NA,NA
"Pancreas","1.10 (0.86-1.42)",0.813972468754731
"Prostate","1.37 (1.10-1.71)",0.0303879924730202
"Skin","1.39 (1.14-1.69)",0.0147668389324645
