"Organ","Effect (95% CI)","FDR"
"Adipose","1.42 (0.99-2.03)",0.0734455874339393
"Brain","1.45 (1.08-1.93)",0.0234743316510728
"Cardiovascular","1.48 (1.12-1.96)",0.0138773914860676
"Endocrine","1.54 (1.21-1.96)",0.00187960191711414
"Gastrointestinal","1.86 (1.31-2.64)",0.00187960191711414
"Immune","1.69 (1.31-2.19)",0.00049552869723358
"Kidney And Bladder","1.51 (1.16-1.96)",0.00664856955783694
"Liver","1.66 (1.02-2.72)",0.0636378097193548
"Lung","1.48 (0.90-2.42)",0.148818334207369
"Muscle","1.12 (0.86-1.47)",0.406372946352898
"Nerve","1.53 (1.10-2.13)",0.0230344597256473
"Ovary","1.36 (0.68-2.71)",0.406372946352898
"Pancreas","1.34 (0.88-2.05)",0.199997875001744
"Prostate","2.31 (1.61-3.32)",7.88457858400422e-05
"Skin","1.46 (1.05-2.03)",0.0427968554700932
