"Organ","Effect (95% CI)","FDR"
"Adipose","1.03 (0.85-1.26)",0.732770457195514
"Brain","1.11 (0.93-1.34)",0.370832782759975
"Cardiovascular","1.09 (0.89-1.34)",0.460491105085358
"Endocrine","1.20 (0.96-1.49)",0.338311365592481
"Gastrointestinal","1.27 (1.05-1.54)",0.109262424464995
"Immune","1.12 (0.92-1.36)",0.370832782759975
"Kidney And Bladder","1.28 (1.05-1.56)",0.109262424464995
"Liver","1.13 (0.91-1.39)",0.370832782759975
"Lung","1.26 (1.03-1.53)",0.109262424464995
"Muscle","1.10 (0.96-1.26)",0.370832782759975
"Nerve","1.07 (0.86-1.32)",0.584723380723547
"Ovary","1.15 (0.92-1.43)",0.370832782759975
"Pancreas","1.12 (0.92-1.37)",0.370832782759975
"Prostate","0.67 (0.45-1.01)",0.202036294266524
"Skin","0.91 (0.75-1.10)",0.403744662983467
