"Organ","Effect (95% CI)","FDR"
"Adipose","1.06 (0.96-1.17)",0.625451103629968
"Brain","1.01 (0.92-1.11)",0.97735152896856
"Cardiovascular","0.99 (0.90-1.09)",0.97735152896856
"Endocrine","1.07 (0.98-1.18)",0.625451103629968
"Gastrointestinal","1.02 (0.92-1.13)",0.97735152896856
"Immune","1.10 (1.00-1.21)",0.370481817123108
"Kidney And Bladder","1.07 (0.97-1.18)",0.625451103629968
"Liver","1.00 (0.91-1.10)",0.97735152896856
"Lung","1.04 (0.94-1.14)",0.956320653021863
"Muscle","0.90 (0.83-0.99)",0.370481817123108
"Nerve","1.00 (0.92-1.10)",0.97735152896856
"Ovary","0.98 (0.86-1.10)",0.97735152896856
"Pancreas","1.01 (0.91-1.12)",0.97735152896856
"Prostate","1.09 (0.95-1.24)",0.625451103629968
"Skin","1.00 (0.91-1.10)",0.97735152896856
