"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (0.97-1.29)",0.307587247319521
"Brain","1.15 (1.03-1.29)",0.201859198190576
"Cardiovascular","1.07 (0.96-1.19)",0.366192961603078
"Endocrine","1.10 (0.99-1.23)",0.262673277187973
"Gastrointestinal","1.11 (1.00-1.23)",0.206871461757432
"Immune","1.12 (1.01-1.25)",0.206871461757432
"Kidney And Bladder","1.07 (0.97-1.18)",0.366192961603078
"Liver","1.02 (0.91-1.14)",0.802046677254129
"Lung","0.98 (0.88-1.10)",0.802046677254129
"Muscle","1.03 (0.93-1.13)",0.748429629970459
"Nerve","1.04 (0.93-1.17)",0.672421589551827
"Ovary","1.09 (0.95-1.26)",0.366192961603078
"Pancreas","1.04 (0.93-1.16)",0.672421589551827
"Prostate","0.99 (0.82-1.19)",0.918150232802044
"Skin","1.11 (0.98-1.27)",0.307587247319521
