"Organ","Effect (95% CI)","FDR"
"Adipose","1.22 (1.10-1.34)",0.00027537173272941
"Brain","1.25 (1.13-1.37)",2.97134762445683e-05
"Cardiovascular","1.23 (1.12-1.35)",4.59328728920698e-05
"Endocrine","1.25 (1.14-1.38)",2.91800107425907e-05
"Gastrointestinal","1.17 (1.05-1.31)",0.00506295963087705
"Immune","1.24 (1.13-1.36)",2.91800107425907e-05
"Kidney And Bladder","1.23 (1.12-1.36)",5.24730196613768e-05
"Liver","1.19 (1.08-1.32)",0.00127072921845625
"Lung","1.16 (1.05-1.29)",0.00543369148676963
"Muscle","1.12 (1.04-1.22)",0.00543369148676963
"Nerve","1.24 (1.13-1.38)",5.4739225840499e-05
"Ovary","1.23 (1.09-1.38)",0.00169860161328319
"Pancreas","1.14 (1.03-1.26)",0.0135693561883125
"Prostate","1.17 (1.02-1.34)",0.0288199040899239
"Skin","1.17 (1.06-1.29)",0.00305575174028478
