"Organ","Effect (95% CI)","FDR"
"Adipose","1.42 (1.27-1.58)",6.94322356643255e-10
"Brain","1.47 (1.32-1.64)",1.54309443640796e-11
"Cardiovascular","1.42 (1.28-1.58)",1.09127831624186e-10
"Endocrine","1.25 (1.11-1.41)",0.000484247568493435
"Gastrointestinal","1.55 (1.39-1.72)",1.40463277623778e-14
"Immune","1.45 (1.30-1.61)",2.79366387046042e-11
"Kidney And Bladder","1.23 (1.09-1.39)",0.000871473516309072
"Liver","1.48 (1.32-1.66)",2.79366387046042e-11
"Lung","1.50 (1.36-1.67)",3.61047253921989e-14
"Muscle","1.13 (1.00-1.29)",0.0552132776957021
"Nerve","1.36 (1.20-1.54)",3.06746079131402e-06
"Ovary","1.29 (1.11-1.51)",0.00155021202243949
"Pancreas","1.22 (1.05-1.42)",0.00916799811731854
"Prostate","1.37 (1.09-1.72)",0.0075176842189088
"Skin","1.40 (1.25-1.58)",3.68712500741891e-08
