"Organ","Effect (95% CI)","FDR"
"Adipose","1.56 (1.32-1.85)",4.87104743567931e-07
"Brain","1.65 (1.39-1.97)",2.60601025450683e-07
"Cardiovascular","1.66 (1.38-1.99)",3.37753540455235e-07
"Endocrine","1.50 (1.22-1.84)",0.00017720206579542
"Gastrointestinal","1.79 (1.45-2.21)",3.37753540455235e-07
"Immune","1.60 (1.32-1.95)",4.82655722896311e-06
"Kidney And Bladder","1.46 (1.19-1.78)",0.000375935087209255
"Liver","1.56 (1.27-1.92)",3.60350328003757e-05
"Lung","1.65 (1.37-1.99)",4.04081009673067e-07
"Muscle","1.09 (0.89-1.34)",0.404476146505445
"Nerve","1.61 (1.30-2.00)",3.09504417547235e-05
"Ovary","1.45 (1.12-1.89)",0.00703114057869302
"Pancreas","1.23 (0.91-1.66)",0.184094033200654
"Prostate","1.43 (1.01-2.04)",0.0537126057783846
"Skin","1.71 (1.40-2.09)",4.04081009673067e-07
