"Organ","Effect (95% CI)","FDR"
"Adipose","1.30 (1.18-1.43)",1.62289557299747e-07
"Brain","1.44 (1.31-1.59)",2.28384758623536e-13
"Cardiovascular","1.52 (1.39-1.68)",7.74183973644712e-18
"Endocrine","1.45 (1.32-1.60)",9.97672011525467e-14
"Gastrointestinal","1.50 (1.34-1.66)",2.53168644927063e-13
"Immune","1.56 (1.44-1.69)",2.42317581115867e-26
"Kidney And Bladder","1.53 (1.40-1.68)",2.66894778740336e-18
"Liver","1.47 (1.34-1.62)",1.55979945753999e-14
"Lung","1.34 (1.20-1.49)",1.96516751358547e-07
"Muscle","1.33 (1.23-1.44)",1.65295133205873e-12
"Nerve","1.43 (1.29-1.59)",7.4317953990539e-11
"Ovary","1.41 (1.21-1.65)",1.63633449387782e-05
"Pancreas","1.44 (1.32-1.58)",6.23891321205418e-15
"Prostate","1.40 (1.24-1.59)",1.62289557299747e-07
"Skin","1.29 (1.17-1.42)",3.7629805508957e-07
