"Organ","OR (95% CI)","FDR"
"Adipose","6.9e+00 (2.6e+00-1.8e+01)",0.000391746449231354
"Brain","3.51 (1.85-6.66)",0.000391746449231354
"Cardiovascular","3.98 (1.92-8.23)",0.000391746449231354
"Endocrine","4.30 (1.95-9.49)",0.000462243408225509
"Gastrointestinal","4.46 (2.06-9.66)",0.000391746449231354
"Immune","3.82 (1.82-8.05)",0.000563266179995272
"Kidney and Bladder","7.0e+00 (2.5e+00-1.9e+01)",0.000391746449231354
"Liver","5.4e+00 (2.3e+00-1.2e+01)",0.000391746449231354
"Lung","4.03 (1.94-8.37)",0.000391746449231354
"Muscle","2.50 (1.44-4.35)",0.00138940413043475
"Nerve","1.2e+01 (3.3e+00-4.2e+01)",0.000391746449231354
"Ovary","5.2e+00 (1.6e+00-1.7e+01)",0.00601650043639471
"Pancreas","3.44 (1.77-6.68)",0.000445395492523407
"Prostate","2.15 (1.00-4.62)",0.0503504917725743
"Skin","2.86 (1.55-5.26)",0.00095302280818913
