"Organ","OR (95% CI)","FDR"
"Adipose","0.89 (0.56-1.41)",0.802078236304576
"Brain","1.13 (0.72-1.76)",0.802078236304576
"Cardiovascular","0.71 (0.43-1.16)",0.802078236304576
"Endocrine","0.78 (0.46-1.34)",0.802078236304576
"Gastrointestinal","1.01 (0.60-1.70)",0.966329728123395
"Immune","0.72 (0.44-1.19)",0.802078236304576
"Kidney and Bladder","0.82 (0.48-1.41)",0.802078236304576
"Liver","0.83 (0.51-1.35)",0.802078236304576
"Lung","0.91 (0.56-1.47)",0.802078236304576
"Muscle","0.85 (0.57-1.27)",0.802078236304576
"Nerve","0.75 (0.46-1.22)",0.802078236304576
"Pancreas","0.85 (0.50-1.45)",0.802078236304576
"Prostate","1.11 (0.69-1.78)",0.802078236304576
"Skin","1.04 (0.65-1.66)",0.950086147424425
