"Organ","HR (95% CI)","FDR"
"Adipose","1.11 (1.06-1.16)",6.32595888109429e-05
"Brain","1.13 (1.08-1.18)",4.66356870557226e-07
"Cardiovascular","1.19 (1.14-1.25)",7.49763710554021e-13
"Endocrine","1.17 (1.12-1.23)",4.36010477291036e-11
"Gastrointestinal","1.15 (1.10-1.21)",7.49044175406873e-10
"Immune","1.16 (1.11-1.21)",4.36010477291036e-11
"Kidney and Bladder","1.21 (1.16-1.27)",8.04114159752485e-16
"Liver","1.16 (1.11-1.22)",2.3493234383114e-10
"Lung","1.10 (1.05-1.15)",0.000156231337580295
"Muscle","1.06 (1.01-1.11)",0.0177890635876672
"Nerve","1.14 (1.09-1.19)",2.14091516460736e-08
"Ovary","1.03 (0.97-1.09)",0.349327165283069
"Pancreas","1.10 (1.05-1.16)",0.000155966856415358
"Prostate","1.06 (1.00-1.13)",0.0698783869158847
"Skin","1.05 (1.00-1.09)",0.0530385083874605
