"Organ","HR (95% CI)","FDR"
"Adipose","1.39 (1.32-1.45)",1.17573687976012e-39
"Brain","1.53 (1.45-1.60)",3.86406059031452e-65
"Cardiovascular","1.68 (1.59-1.76)",2.75285604398075e-91
"Endocrine","1.53 (1.46-1.60)",2.13161459091487e-76
"Gastrointestinal","1.64 (1.56-1.72)",7.23502308531423e-88
"Immune","1.54 (1.47-1.60)",2.12373572785049e-89
"Kidney and Bladder","1.57 (1.51-1.64)",8.63360759665431e-93
"Liver","1.69 (1.61-1.78)",2.75285604398075e-91
"Lung","1.45 (1.38-1.52)",7.16534150696155e-53
"Muscle","1.22 (1.12-1.32)",1.14811472674798e-06
"Nerve","1.54 (1.47-1.61)",7.92571306544395e-74
"Ovary","1.40 (1.30-1.51)",1.12416407255523e-18
"Pancreas","1.34 (1.28-1.41)",1.45769763087151e-34
"Prostate","1.25 (1.17-1.33)",2.85132177958295e-12
"Skin","1.35 (1.29-1.42)",7.48247135786645e-33
