"Organ","HR (95% CI)","FDR"
"Adipose","1.10 (1.02-1.18)",0.0140086037556749
"Brain","1.16 (1.08-1.24)",5.44294925358168e-05
"Cardiovascular","1.15 (1.08-1.24)",0.000114950289746381
"Endocrine","1.10 (1.02-1.19)",0.0164499986672091
"Gastrointestinal","1.18 (1.10-1.27)",1.42040048585922e-05
"Immune","1.15 (1.07-1.22)",0.000114950289746381
"Kidney and Bladder","1.18 (1.10-1.26)",1.7703801363198e-05
"Liver","1.22 (1.14-1.30)",1.23798691905027e-07
"Lung","1.15 (1.07-1.23)",0.000114950289746381
"Muscle","1.05 (0.99-1.12)",0.148282098505515
"Nerve","1.14 (1.07-1.22)",0.000120908399563756
"Ovary","1.15 (0.99-1.33)",0.0964708367943202
"Pancreas","1.03 (0.96-1.10)",0.501907306862011
"Prostate","1.03 (0.94-1.12)",0.550773344279867
"Skin","1.03 (0.96-1.10)",0.501907306862011
