"Organ","OR (95% CI)","FDR"
"Adipose","1.41 (0.97-2.05)",0.0965157571793408
"Brain","2.02 (1.22-3.35)",0.0162349917904405
"Cardiovascular","2.83 (1.60-5.00)",0.00505719869626977
"Endocrine","1.98 (1.24-3.18)",0.0142121297675904
"Gastrointestinal","1.69 (1.12-2.57)",0.0271217910222665
"Immune","2.27 (1.33-3.86)",0.0127086951420706
"Kidney and Bladder","2.17 (1.36-3.46)",0.00884444421675072
"Liver","1.72 (1.10-2.70)",0.0347167884951198
"Lung","1.36 (0.93-1.99)",0.134313450981996
"Muscle","1.43 (0.97-2.11)",0.0965157571793408
"Nerve","1.88 (1.21-2.91)",0.0142121297675904
"Ovary","2.18 (0.86-5.54)",0.12701635995422
"Pancreas","1.43 (0.97-2.10)",0.0965157571793408
"Prostate","0.64 (0.33-1.26)",0.195534618906847
"Skin","1.33 (0.92-1.92)",0.141324073676107
