"Organ","OR (95% CI)","FDR"
"Adipose","2.17 (1.19-3.98)",0.0346404975550161
"Brain","2.25 (1.18-4.31)",0.0346404975550161
"Cardiovascular","2.15 (1.15-4.03)",0.0365197068262714
"Endocrine","1.45 (0.90-2.32)",0.148266578449989
"Gastrointestinal","2.36 (1.24-4.49)",0.0346404975550161
"Immune","3.17 (1.32-7.63)",0.0346404975550161
"Kidney and Bladder","1.39 (0.88-2.19)",0.16515095351691
"Liver","2.37 (1.21-4.66)",0.0346404975550161
"Lung","1.52 (0.89-2.61)",0.148266578449989
"Muscle","1.92 (1.07-3.47)",0.0552635472245857
"Nerve","2.05 (1.17-3.58)",0.0346404975550161
"Ovary","2.06 (0.94-4.50)",0.0961332240383203
"Pancreas","1.13 (0.74-1.75)",0.56690751420704
"Prostate","3.7e+00 (9.4e-01-1.4e+01)",0.0911712639199751
"Skin","1.69 (1.01-2.82)",0.0770765339006619
