"Organ","OR (95% CI)","FDR"
"Adipose","1.31 (1.15-1.49)",0.00025247844786307
"Brain","1.31 (1.14-1.52)",0.000512711680748845
"Cardiovascular","1.41 (1.25-1.59)",5.23662860429131e-07
"Endocrine","1.24 (1.08-1.42)",0.00332356005128044
"Gastrointestinal","1.33 (1.14-1.54)",0.000525027710889296
"Immune","1.31 (1.15-1.50)",0.000285703947650411
"Kidney and Bladder","1.19 (1.03-1.37)",0.0217707346844429
"Liver","1.26 (1.11-1.44)",0.000744756808233136
"Lung","1.20 (1.05-1.37)",0.0132507277456454
"Muscle","1.16 (1.03-1.32)",0.0205671842004704
"Nerve","1.34 (1.17-1.53)",0.000124983315414771
"Ovary","1.47 (1.19-1.83)",0.000744756808233136
"Pancreas","1.12 (0.97-1.30)",0.129979754068855
"Prostate","1.07 (0.90-1.27)",0.450885786772556
"Skin","1.03 (0.90-1.19)",0.637030617086828
