"Organ","OR (95% CI)","FDR"
"Adipose","1.25 (1.02-1.54)",0.0411660137972361
"Brain","1.33 (1.06-1.67)",0.0238620835052863
"Cardiovascular","1.55 (1.28-1.87)",4.70691474116362e-05
"Endocrine","1.46 (1.17-1.82)",0.00243939501983274
"Gastrointestinal","1.41 (1.13-1.77)",0.00675145359218692
"Immune","1.60 (1.28-1.98)",0.000135573608872838
"Kidney and Bladder","1.70 (1.35-2.14)",4.70691474116362e-05
"Liver","1.23 (0.96-1.57)",0.13234594299673
"Lung","1.17 (0.94-1.45)",0.166867781771963
"Muscle","1.22 (1.04-1.43)",0.0238620835052863
"Nerve","1.49 (1.19-1.87)",0.00167262456072174
"Ovary","1.11 (0.71-1.72)",0.653272576319104
"Pancreas","1.37 (1.06-1.76)",0.0238620835052863
"Prostate","1.26 (0.93-1.71)",0.156254190524523
"Skin","1.34 (1.03-1.76)",0.0411660137972361
