"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.04-0.02)",0.559660018598901
"Brain","-0.00 (-0.04-0.03)",0.924840839718042
"Cardiovascular","-0.02 (-0.06-0.01)",0.25656123570354
"Endocrine","0.02 (-0.01-0.05)",0.320391318991586
"Gastrointestinal","-0.02 (-0.05-0.02)",0.462163017004322
"Immune","0.02 (-0.01-0.06)",0.202146432861722
"Kidney_urinary","0.05 (0.02-0.08)",0.00827400576712954
"Liver","-0.04 (-0.07--0.00)",0.0575443084534715
"Lung","-0.02 (-0.05-0.01)",0.184058632765567
"Muscle","0.01 (-0.03-0.04)",0.716369281900638
"Nerve","-0.05 (-0.08--0.02)",0.00527513545347207
"Ovary","-0.04 (-0.07--0.00)",0.0495441061234471
"Pancreas","0.02 (-0.01-0.06)",0.15694828947797
"Skin","-0.02 (-0.05-0.01)",0.303827707249611
