"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.04-0.12)",0.000320557909602581
"Brain","0.09 (0.06-0.13)",2.97584770096981e-06
"Cardiovascular","0.03 (-0.01-0.06)",0.273206247874004
"Endocrine","0.10 (0.06-0.14)",3.24547377308739e-06
"Gastrointestinal","0.08 (0.05-0.12)",3.4433678962432e-05
"Immune","0.02 (-0.02-0.06)",0.37585295843519
"Kidney_urinary","0.13 (0.09-0.17)",4.52626557528045e-09
"Liver","0.06 (0.02-0.10)",0.00896361228989067
"Lung","0.06 (0.02-0.10)",0.00433428001545557
"Muscle","-0.01 (-0.04-0.03)",0.800357869443661
"Nerve","0.04 (-0.00-0.08)",0.0897113350078566
"Ovary","0.03 (-0.00-0.07)",0.124334427467992
"Pancreas","0.02 (-0.01-0.06)",0.293814339918191
"Skin","0.08 (0.04-0.12)",0.000164891412910577
