"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.00-0.10)",0.0565162436353123
"Brain","0.06 (0.01-0.11)",0.0248433662560774
"Cardiovascular","0.05 (-0.00-0.10)",0.0990760966368051
"Endocrine","0.06 (0.01-0.10)",0.0168442467954307
"Gastrointestinal","-0.04 (-0.08--0.00)",0.0665517098407298
"Immune","0.05 (0.00-0.10)",0.058532430202704
"Kidney_urinary","0.11 (0.06-0.16)",5.65739408694625e-05
"Liver","0.07 (0.01-0.12)",0.019879516548785
"Lung","-0.05 (-0.09--0.01)",0.0338209301594839
"Muscle","0.09 (0.04-0.14)",0.000781633920943953
"Nerve","0.04 (-0.00-0.08)",0.107899694407672
"Pancreas","0.07 (0.03-0.11)",0.00331442089941211
"Prostate","-0.06 (-0.11--0.02)",0.0119963521643756
"Skin","0.00 (-0.04-0.05)",0.947120606888466
