"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.02-0.10)",0.00898527941153021
"Brain","0.07 (0.03-0.11)",0.00143171722892464
"Cardiovascular","0.11 (0.06-0.15)",1.20294005331967e-05
"Endocrine","0.07 (0.02-0.12)",0.00643503146267616
"Gastrointestinal","0.09 (0.05-0.14)",0.000130372515904165
"Immune","0.11 (0.07-0.16)",5.25557842212127e-06
"Kidney_urinary","0.14 (0.10-0.19)",4.10663530621221e-09
"Liver","0.08 (0.03-0.12)",0.00153734415977506
"Lung","0.11 (0.07-0.15)",1.28185989727846e-06
"Muscle","0.02 (-0.02-0.07)",0.352646523372062
"Nerve","0.03 (-0.02-0.07)",0.309454915189222
"Ovary","0.10 (0.05-0.15)",0.000383209514683955
"Pancreas","0.11 (0.06-0.15)",5.28634142603962e-06
"Skin","0.07 (0.02-0.12)",0.00929246715530546
