"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.04 (-0.09--0.00)",0.0575443084534715
"Brain","0.03 (-0.01-0.08)",0.170670121013013
"Cardiovascular","-0.01 (-0.05-0.03)",0.568838352184532
"Endocrine","-0.06 (-0.10--0.02)",0.00417435602659232
"Gastrointestinal","-0.06 (-0.10--0.03)",0.00192470008676223
"Immune","0.06 (0.02-0.10)",0.00336718479559092
"Kidney_urinary","0.01 (-0.03-0.05)",0.616418717758551
"Liver","0.05 (0.01-0.10)",0.0310992962306093
"Lung","-0.07 (-0.12--0.03)",0.00387214006991542
"Muscle","0.13 (0.09-0.17)",4.34726015043586e-11
"Nerve","-0.02 (-0.06-0.02)",0.417117553312934
"Ovary","-0.04 (-0.08--0.01)",0.0421517695862707
"Pancreas","-0.03 (-0.07-0.00)",0.103488937444098
"Skin","0.04 (-0.01-0.08)",0.131541465050426
