"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.04 (-0.08--0.00)",0.058560528176286
"Brain","-0.04 (-0.08--0.00)",0.0575443084534715
"Cardiovascular","-0.04 (-0.08--0.00)",0.0573273773223617
"Endocrine","-0.07 (-0.10--0.03)",0.00158791039546357
"Gastrointestinal","-0.09 (-0.13--0.06)",3.14974680588241e-06
"Immune","-0.04 (-0.08--0.00)",0.0488592463870106
"Kidney_urinary","-0.09 (-0.13--0.06)",6.23453546659636e-06
"Liver","-0.08 (-0.11--0.04)",0.000251723148621814
"Lung","-0.00 (-0.04-0.03)",0.91074176509299
"Muscle","0.00 (-0.03-0.04)",0.869500247796702
"Nerve","-0.03 (-0.07-0.00)",0.105625177016516
"Ovary","-0.02 (-0.06-0.02)",0.383609331798645
"Pancreas","-0.03 (-0.07-0.01)",0.156037418197282
"Skin","-0.03 (-0.07-0.01)",0.147493436965436
