"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.09--0.01)",0.0338209301594839
"Brain","-0.08 (-0.13--0.04)",0.000438917446341998
"Cardiovascular","-0.09 (-0.13--0.05)",0.000170599823045116
"Endocrine","-0.09 (-0.14--0.04)",0.00137005893476738
"Gastrointestinal","-0.11 (-0.16--0.07)",1.50229513495816e-06
"Immune","-0.08 (-0.12--0.03)",0.00111748768167882
"Kidney_urinary","-0.12 (-0.16--0.07)",6.26913735995453e-06
"Liver","-0.15 (-0.19--0.11)",3.9685107199321e-11
"Lung","-0.07 (-0.11--0.03)",0.00298354961002501
"Muscle","-0.01 (-0.04-0.03)",0.83900522262305
"Nerve","-0.07 (-0.11--0.02)",0.00461822592719677
"Pancreas","-0.02 (-0.06-0.03)",0.505468635648439
"Prostate","-0.07 (-0.11--0.02)",0.00461822592719677
"Skin","-0.05 (-0.09--0.01)",0.0253143999108511
