"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.10 (0.05-0.14)",3.87018405889795e-05
"Brain","0.10 (0.06-0.14)",2.29136554259608e-05
"Cardiovascular","0.11 (0.06-0.15)",7.6233451386236e-06
"Endocrine","0.10 (0.06-0.14)",7.77329223062296e-06
"Gastrointestinal","0.07 (0.03-0.12)",0.002246663524411
"Immune","0.09 (0.05-0.14)",7.52958053987115e-05
"Kidney_urinary","0.12 (0.08-0.16)",7.51576752650552e-07
"Liver","0.12 (0.07-0.16)",2.58541327471726e-06
"Lung","0.12 (0.07-0.16)",2.25938919419339e-07
"Muscle","0.08 (0.01-0.14)",0.0310210438991813
"Nerve","0.09 (0.05-0.14)",0.000142015713035843
"Pancreas","0.08 (0.04-0.12)",0.000919185180519023
"Prostate","0.09 (0.05-0.13)",0.000232915372389815
"Skin","0.08 (0.04-0.12)",0.000458303719404353
