"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.97 (0.88-1.07)",0.565119531755195
"Brain","0.86 (0.79-0.94)",0.0026117611054443
"Cardiovascular","0.84 (0.76-0.92)",0.000283488983974307
"Endocrine","0.93 (0.84-1.02)",0.142856679916091
"Gastrointestinal","0.82 (0.75-0.90)",6.52994182147934e-05
"Immune","0.89 (0.81-0.99)",0.0375036957464833
"Kidney_urinary","0.85 (0.77-0.93)",0.00178738906487632
"Liver","0.81 (0.74-0.89)",2.87220565434133e-05
"Lung","0.86 (0.78-0.94)",0.00265777381689953
"Muscle","0.87 (0.79-0.96)",0.00843405297573073
"Nerve","0.83 (0.76-0.92)",0.000417837675626707
"Ovary","0.85 (0.77-0.95)",0.00514809729445475
"Pancreas","0.94 (0.86-1.03)",0.20499944041043
"Skin","0.86 (0.79-0.95)",0.00384412184544766
