"Organ","Effect (95% CI)","FDR"
"Adipose","1.22 (1.11-1.34)",0.000221746234322323
"Brain","1.16 (1.06-1.27)",0.00229743411643601
"Cardiovascular","1.23 (1.12-1.36)",0.000221746234322323
"Endocrine","1.13 (1.02-1.26)",0.0247853653838984
"Gastrointestinal","1.19 (1.08-1.31)",0.00145615882394543
"Immune","1.21 (1.11-1.31)",0.000131944323928794
"Kidney And Bladder","1.16 (1.06-1.28)",0.00278822920661949
"Liver","1.18 (1.08-1.30)",0.000764264633212114
"Lung","1.12 (1.02-1.23)",0.0247853653838984
"Muscle","1.15 (1.04-1.26)",0.00549434889279927
"Nerve","1.16 (1.06-1.28)",0.00245141390662169
"Ovary","1.05 (0.94-1.18)",0.379830372885427
"Pancreas","1.05 (0.97-1.14)",0.259349565431745
"Prostate","1.30 (1.13-1.48)",0.000542742074463779
"Skin","1.18 (1.08-1.29)",0.000629761166416825
