"Organ","Effect (95% CI)","FDR"
"Adipose","1.22 (0.92-1.62)",0.341501751595809
"Brain","1.02 (0.80-1.30)",0.92037770008988
"Cardiovascular","1.05 (0.80-1.37)",0.92037770008988
"Endocrine","1.30 (0.97-1.75)",0.341501751595809
"Gastrointestinal","0.83 (0.63-1.09)",0.341501751595809
"Immune","0.97 (0.76-1.24)",0.92037770008988
"Kidney And Bladder","1.26 (0.97-1.65)",0.341501751595809
"Liver","1.27 (0.97-1.66)",0.341501751595809
"Lung","1.20 (0.92-1.56)",0.341501751595809
"Muscle","1.07 (0.85-1.34)",0.92037770008988
"Nerve","1.04 (0.78-1.38)",0.92037770008988
"Ovary","1.02 (0.73-1.43)",0.92037770008988
"Pancreas","1.18 (0.94-1.49)",0.341501751595809
"Prostate","1.44 (0.86-2.41)",0.341501751595809
"Skin","1.06 (0.82-1.37)",0.92037770008988
