"Organ","Effect (95% CI)","FDR"
"Adipose","1.13 (0.98-1.31)",0.131036519266433
"Brain","1.32 (1.14-1.54)",0.00481597104611989
"Cardiovascular","1.15 (0.98-1.35)",0.128191487933172
"Endocrine","1.23 (1.05-1.45)",0.0418025802094639
"Gastrointestinal","1.15 (0.99-1.33)",0.113356337064322
"Immune","1.15 (0.99-1.33)",0.113356337064322
"Kidney And Bladder","1.20 (1.02-1.40)",0.0792129837749336
"Liver","1.18 (1.00-1.39)",0.110367888183089
"Lung","1.11 (0.95-1.30)",0.217932269944267
"Muscle","1.13 (0.97-1.31)",0.164150244935396
"Nerve","1.27 (1.09-1.49)",0.0215642115498911
"Ovary","1.18 (1.00-1.39)",0.113356337064322
"Pancreas","1.19 (1.04-1.35)",0.0418025802094639
"Prostate","1.03 (0.78-1.37)",0.821658668701311
"Skin","1.07 (0.92-1.24)",0.391472966547761
