"Organ","Effect (95% CI)","FDR"
"Adipose","1.20 (0.92-1.57)",0.284433644039267
"Brain","1.33 (1.03-1.73)",0.152622298705453
"Cardiovascular","1.35 (0.99-1.84)",0.152622298705453
"Endocrine","1.33 (0.98-1.81)",0.152622298705453
"Gastrointestinal","1.35 (1.03-1.78)",0.152622298705453
"Immune","1.20 (0.91-1.58)",0.308377472189013
"Kidney And Bladder","1.33 (1.00-1.76)",0.152622298705453
"Liver","1.31 (0.96-1.78)",0.17519722379497
"Lung","1.32 (1.00-1.75)",0.152622298705453
"Muscle","1.02 (0.82-1.27)",0.849685414870716
"Nerve","1.18 (0.89-1.56)",0.353884954105555
"Ovary","1.49 (0.98-2.28)",0.152622298705453
"Pancreas","1.07 (0.83-1.38)",0.724396972210895
"Prostate","0.93 (0.54-1.60)",0.849685414870716
"Skin","1.07 (0.82-1.39)",0.724396972210895
