"Organ","Effect (95% CI)","FDR"
"Adipose","1.04 (0.93-1.15)",0.568634440633324
"Brain","1.05 (0.95-1.17)",0.460751811761267
"Cardiovascular","1.15 (1.03-1.28)",0.0369754448886746
"Endocrine","1.09 (1.00-1.19)",0.104505214928131
"Gastrointestinal","1.18 (1.07-1.31)",0.0106047046451234
"Immune","1.13 (1.02-1.24)",0.0420478502160814
"Kidney And Bladder","1.15 (1.05-1.26)",0.0275098465701062
"Liver","1.17 (1.05-1.31)",0.0285354501194439
"Lung","1.08 (0.99-1.17)",0.167690549845167
"Muscle","1.00 (0.91-1.09)",0.963322373846713
"Nerve","1.14 (1.02-1.28)",0.046420483071477
"Ovary","1.04 (0.98-1.09)",0.288627624287952
"Pancreas","1.03 (0.96-1.11)",0.560331965901254
"Prostate","0.94 (0.78-1.13)",0.568634440633324
"Skin","1.01 (0.92-1.12)",0.83662622238885
