"Organ","Effect (95% CI)","FDR"
"Adipose","1.09 (1.01-1.17)",0.0347018646318386
"Brain","1.03 (0.96-1.10)",0.449547256361214
"Cardiovascular","1.09 (1.01-1.17)",0.0477777871366219
"Endocrine","1.10 (1.03-1.18)",0.0204386206166333
"Gastrointestinal","1.09 (1.02-1.18)",0.0283933748989322
"Immune","1.06 (0.99-1.13)",0.142298262214693
"Kidney And Bladder","1.10 (1.03-1.17)",0.0204386206166333
"Liver","1.14 (1.07-1.23)",0.00247538003963845
"Lung","1.10 (1.03-1.18)",0.0204386206166333
"Muscle","1.05 (0.99-1.12)",0.165119058105777
"Nerve","1.07 (1.00-1.15)",0.0880767399363539
"Ovary","1.11 (1.03-1.20)",0.0204386206166333
"Pancreas","1.02 (0.95-1.08)",0.618439426871168
"Prostate","1.10 (0.97-1.24)",0.168146669987346
"Skin","1.10 (1.03-1.18)",0.0204386206166333
