"Organ","Effect (95% CI)","FDR"
"Adipose","1.28 (1.11-1.48)",0.0088616534928151
"Brain","1.11 (0.96-1.30)",0.233424034004845
"Cardiovascular","1.18 (1.01-1.38)",0.114212551672575
"Endocrine","1.09 (0.93-1.28)",0.313331113745414
"Gastrointestinal","1.21 (1.03-1.42)",0.114212551672575
"Immune","1.14 (1.01-1.29)",0.114212551672575
"Kidney And Bladder","1.12 (0.96-1.30)",0.233424034004845
"Liver","1.17 (1.01-1.37)",0.114212551672575
"Lung","1.09 (0.94-1.26)",0.313331113745414
"Muscle","1.07 (0.93-1.23)",0.377964934018905
"Nerve","1.14 (0.98-1.33)",0.187366411470103
"Ovary","1.01 (0.85-1.20)",0.895775943558151
"Pancreas","0.91 (0.80-1.03)",0.233424034004845
"Prostate","1.19 (0.97-1.46)",0.187366411470103
"Skin","1.10 (0.96-1.27)",0.245024031417089
