"Organ","Effect (95% CI)","FDR"
"Adipose","1.04 (0.86-1.27)",0.718259585755421
"Brain","1.26 (1.03-1.53)",0.144671998425212
"Cardiovascular","1.18 (0.96-1.46)",0.293803364688261
"Endocrine","1.09 (0.90-1.32)",0.639147537971347
"Gastrointestinal","1.27 (1.07-1.50)",0.0857913641461751
"Immune","1.13 (0.97-1.33)",0.293803364688261
"Kidney And Bladder","1.18 (0.98-1.43)",0.293803364688261
"Liver","1.14 (0.93-1.40)",0.444210168162706
"Lung","1.06 (0.87-1.30)",0.718259585755421
"Muscle","1.10 (0.93-1.31)",0.527078927324688
"Nerve","1.27 (1.03-1.58)",0.144671998425212
"Ovary","1.08 (0.79-1.47)",0.718259585755421
"Pancreas","1.04 (0.89-1.22)",0.718259585755421
"Prostate","0.95 (0.73-1.25)",0.739701901519272
"Skin","1.07 (0.90-1.28)",0.674355024701584
