"Organ","HR (95% CI)","FDR"
"Adipose","0.83 (0.65-1.07)",0.615367658521408
"Brain","1.01 (0.82-1.24)",0.942051548813012
"Cardiovascular","0.87 (0.69-1.11)",0.615367658521408
"Endocrine","0.89 (0.68-1.15)",0.615367658521408
"Gastrointestinal","0.97 (0.77-1.22)",0.941028680469601
"Immune","0.89 (0.72-1.11)",0.615367658521408
"Kidney and Bladder","0.95 (0.74-1.23)",0.914298310885769
"Liver","0.76 (0.61-0.96)",0.318601391323132
"Lung","0.84 (0.66-1.07)",0.615367658521408
"Muscle","0.89 (0.70-1.13)",0.615367658521408
"Nerve","0.88 (0.70-1.10)",0.615367658521408
"Ovary","0.87 (0.53-1.44)",0.900517595585203
"Pancreas","0.98 (0.77-1.25)",0.941608001295652
"Prostate","0.95 (0.71-1.27)",0.914298310885769
"Skin","0.90 (0.73-1.12)",0.615367658521408
