"Organ","HR (95% CI)","FDR"
"Adipose","1.13 (0.93-1.38)",0.353227767811525
"Brain","1.16 (0.96-1.42)",0.353227767811525
"Cardiovascular","1.16 (0.95-1.43)",0.353227767811525
"Endocrine","1.08 (0.87-1.34)",0.56233170863744
"Gastrointestinal","1.21 (0.99-1.46)",0.300925962065482
"Immune","1.13 (0.93-1.37)",0.353227767811525
"Kidney and Bladder","1.19 (0.97-1.45)",0.353227767811525
"Liver","1.22 (1.00-1.48)",0.300925962065482
"Lung","1.26 (1.03-1.54)",0.300925962065482
"Muscle","0.94 (0.79-1.12)",0.56233170863744
"Nerve","1.13 (0.93-1.38)",0.353227767811525
"Ovary","0.96 (0.73-1.26)",0.762401480222067
"Pancreas","1.03 (0.85-1.24)",0.762401480222067
"Prostate","1.13 (0.82-1.54)",0.56233170863744
"Skin","0.93 (0.77-1.13)",0.56233170863744
