"Organ","HR (95% CI)","FDR"
"Adipose","1.12 (0.81-1.54)",0.68675628573991
"Brain","1.36 (0.99-1.87)",0.461534981343787
"Cardiovascular","1.34 (0.92-1.95)",0.473853881611084
"Endocrine","1.20 (0.84-1.70)",0.68675628573991
"Gastrointestinal","1.14 (0.82-1.59)",0.68675628573991
"Immune","0.92 (0.69-1.22)",0.68675628573991
"Kidney and Bladder","1.11 (0.78-1.59)",0.68675628573991
"Liver","1.10 (0.76-1.59)",0.719380357539483
"Lung","1.31 (0.94-1.85)",0.473853881611084
"Muscle","1.25 (0.90-1.74)",0.54486085522065
"Nerve","1.46 (1.00-2.12)",0.461534981343787
"Ovary","1.20 (0.71-2.01)",0.68675628573991
"Pancreas","1.01 (0.73-1.38)",0.966129864121419
"Prostate","0.84 (0.50-1.41)",0.68675628573991
"Skin","1.08 (0.76-1.52)",0.723883090230935
