"Organ","HR (95% CI)","FDR"
"Adipose","1.09 (0.92-1.30)",0.607023875377686
"Brain","1.14 (0.95-1.36)",0.607023875377686
"Cardiovascular","1.25 (1.02-1.53)",0.505753447292742
"Endocrine","1.11 (0.90-1.37)",0.607023875377686
"Gastrointestinal","1.05 (0.87-1.26)",0.762216938485858
"Immune","1.14 (0.96-1.36)",0.607023875377686
"Kidney and Bladder","1.08 (0.89-1.32)",0.634586851113246
"Liver","1.05 (0.87-1.27)",0.762216938485858
"Lung","1.10 (0.92-1.31)",0.607023875377686
"Muscle","1.09 (0.89-1.32)",0.634586851113246
"Nerve","1.11 (0.91-1.34)",0.607023875377686
"Ovary","1.00 (0.77-1.30)",0.973537932125775
"Pancreas","0.96 (0.80-1.16)",0.762216938485858
"Prostate","0.95 (0.72-1.25)",0.762216938485858
"Skin","0.88 (0.73-1.07)",0.607023875377686
