"Organ","HR (95% CI)","FDR"
"Adipose","1.81 (1.13-2.89)",0.0339454058727474
"Brain","1.34 (0.91-1.98)",0.174847029645737
"Cardiovascular","1.80 (1.04-3.09)",0.0733771299330481
"Endocrine","1.93 (1.19-3.14)",0.0264507874464534
"Gastrointestinal","1.18 (0.82-1.69)",0.372389074589763
"Immune","1.35 (0.90-2.04)",0.174847029645737
"Kidney and Bladder","1.98 (1.20-3.28)",0.0264507874464534
"Liver","2.45 (1.40-4.30)",0.0264507874464534
"Lung","1.62 (1.02-2.56)",0.0740629531411719
"Muscle","1.39 (0.94-2.07)",0.144922476707883
"Nerve","2.35 (1.27-4.34)",0.0264507874464534
"Ovary","2.28 (0.87-6.01)",0.144922476707883
"Pancreas","1.25 (0.83-1.88)",0.313286391332237
"Prostate","0.54 (0.23-1.25)",0.174847029645737
"Skin","1.74 (1.15-2.64)",0.0264507874464534
