"Organ","HR (95% CI)","FDR"
"Adipose","0.72 (0.46-1.12)",0.404209924352426
"Brain","0.98 (0.65-1.48)",0.998102258499581
"Cardiovascular","1.51 (0.89-2.57)",0.404209924352426
"Endocrine","0.68 (0.36-1.30)",0.495877097078275
"Gastrointestinal","1.36 (0.83-2.23)",0.495877097078275
"Immune","0.69 (0.42-1.11)",0.404209924352426
"Kidney and Bladder","0.92 (0.59-1.45)",0.998102258499581
"Liver","1.19 (0.76-1.89)",0.782073873334697
"Lung","0.69 (0.43-1.09)",0.404209924352426
"Muscle","1.53 (1.00-2.34)",0.404209924352426
"Nerve","0.88 (0.55-1.42)",0.945505422409858
"Pancreas","1.02 (0.69-1.49)",0.998102258499581
"Prostate","1.00 (0.66-1.51)",0.998102258499581
"Skin","0.95 (0.61-1.48)",0.998102258499581
