"Organ","HR (95% CI)","FDR"
"Adipose","1.53 (0.97-2.41)",0.582920543405777
"Brain","1.04 (0.66-1.62)",0.926452907655106
"Cardiovascular","1.09 (0.65-1.81)",0.926452907655106
"Endocrine","1.41 (0.83-2.40)",0.711315568935162
"Gastrointestinal","1.11 (0.65-1.90)",0.926452907655106
"Immune","1.22 (0.77-1.93)",0.84585628639989
"Kidney and Bladder","1.28 (0.75-2.18)",0.84585628639989
"Liver","1.09 (0.61-1.94)",0.926452907655106
"Lung","1.52 (0.95-2.41)",0.582920543405777
"Muscle","1.50 (0.88-2.55)",0.695469803927204
"Nerve","1.34 (0.82-2.18)",0.711315568935162
"Ovary","0.89 (0.43-1.87)",0.926452907655106
"Pancreas","1.19 (0.75-1.89)",0.846469935696555
"Prostate","1.08 (0.42-2.74)",0.926452907655106
"Skin","0.98 (0.64-1.50)",0.926452907655106
