"Organ","HR (95% CI)","FDR"
"Adipose","1.21 (1.05-1.38)",0.00802364833039514
"Brain","1.37 (1.19-1.57)",1.91875165143278e-05
"Cardiovascular","1.64 (1.41-1.91)",2.54632883349467e-09
"Endocrine","1.36 (1.18-1.58)",7.01394411249371e-05
"Gastrointestinal","1.55 (1.34-1.79)",2.79121282295077e-08
"Immune","1.33 (1.16-1.52)",7.01394411249371e-05
"Kidney and Bladder","1.51 (1.31-1.75)",1.47598131156269e-07
"Liver","1.55 (1.35-1.79)",8.66733041851087e-09
"Lung","1.33 (1.16-1.52)",7.01394411249371e-05
"Muscle","1.17 (1.03-1.33)",0.0196061821081264
"Nerve","1.36 (1.18-1.56)",5.08551558582219e-05
"Ovary","1.31 (1.08-1.59)",0.0078175816291929
"Pancreas","1.22 (1.08-1.38)",0.0022191672338757
"Prostate","1.24 (1.02-1.52)",0.0314000678568208
"Skin","1.24 (1.08-1.41)",0.00249495910351629
