"Organ","HR (95% CI)","FDR"
"Adipose","1.07 (0.52-2.23)",0.911507529728644
"Brain","3.7e+00 (1.2e+00-1.2e+01)",0.391144976290599
"Cardiovascular","1.43 (0.56-3.63)",0.845055010807228
"Endocrine","1.83 (0.70-4.75)",0.59114920284211
"Gastrointestinal","2.35 (0.80-6.88)",0.59114920284211
"Immune","2.03 (0.80-5.11)",0.59114920284211
"Kidney and Bladder","1.56 (0.57-4.21)",0.824655572388785
"Liver","1.37 (0.54-3.43)",0.845055010807228
"Lung","1.23 (0.58-2.60)",0.877909409353589
"Muscle","1.09 (0.47-2.56)",0.911507529728644
"Nerve","0.96 (0.46-1.99)",0.913913012222989
"Ovary","2.5e+00 (5.6e-01-1.1e+01)",0.59114920284211
"Pancreas","1.11 (0.50-2.47)",0.911507529728644
"Prostate","2.0e+00 (1.0e-01-4.0e+01)",0.877909409353589
"Skin","1.71 (0.70-4.14)",0.59114920284211
