"Organ","HR (95% CI)","FDR"
"Adipose","1.06 (0.86-1.32)",0.994666412168362
"Brain","1.04 (0.82-1.33)",0.994666412168362
"Cardiovascular","1.20 (0.92-1.56)",0.912769316437537
"Endocrine","1.08 (0.82-1.41)",0.994666412168362
"Gastrointestinal","1.00 (0.79-1.27)",0.994666412168362
"Immune","1.41 (1.10-1.81)",0.0955575587058321
"Kidney and Bladder","1.10 (0.85-1.43)",0.994666412168362
"Liver","1.07 (0.86-1.34)",0.994666412168362
"Lung","1.04 (0.84-1.29)",0.994666412168362
"Muscle","1.05 (0.83-1.32)",0.994666412168362
"Nerve","0.99 (0.78-1.27)",0.994666412168362
"Ovary","0.96 (0.69-1.34)",0.994666412168362
"Pancreas","0.95 (0.75-1.21)",0.994666412168362
"Prostate","1.00 (0.70-1.43)",0.994666412168362
"Skin","0.81 (0.65-1.02)",0.593225927028872
