"Organ","Effect (95% CI)","FDR"
"Adipose","1.03 (0.98-1.08)",0.581891914990147
"Brain","1.00 (0.95-1.04)",0.903258545989182
"Cardiovascular","1.02 (0.97-1.07)",0.799435841868961
"Endocrine","1.04 (0.99-1.09)",0.498845279645176
"Gastrointestinal","1.05 (1.00-1.10)",0.34061011706918
"Immune","1.02 (0.97-1.06)",0.799435841868961
"Kidney And Bladder","1.04 (0.99-1.09)",0.510971951806141
"Liver","1.02 (0.97-1.06)",0.799435841868961
"Lung","0.99 (0.95-1.03)",0.799435841868961
"Muscle","1.01 (0.97-1.05)",0.799435841868961
"Nerve","1.00 (0.96-1.05)",0.903258545989182
"Ovary","1.01 (0.96-1.07)",0.799435841868961
"Pancreas","0.98 (0.94-1.03)",0.799435841868961
"Prostate","1.01 (0.95-1.09)",0.799435841868961
"Skin","1.07 (1.03-1.12)",0.0243002448865622
