"Organ","HR (95% CI)","FDR"
"Adipose","1.09 (0.71-1.67)",0.818700112634506
"Brain","0.85 (0.58-1.22)",0.769031194641457
"Cardiovascular","1.07 (0.71-1.60)",0.818700112634506
"Endocrine","0.81 (0.56-1.19)",0.769031194641457
"Gastrointestinal","1.29 (0.87-1.91)",0.737214055150971
"Immune","0.72 (0.48-1.06)",0.737214055150971
"Kidney and Bladder","0.85 (0.58-1.25)",0.769031194641457
"Liver","1.11 (0.74-1.66)",0.769031194641457
"Lung","0.89 (0.59-1.34)",0.769031194641457
"Muscle","0.98 (0.73-1.31)",0.888939235127955
"Nerve","1.14 (0.75-1.75)",0.769031194641457
"Pancreas","0.88 (0.62-1.25)",0.769031194641457
"Prostate","0.71 (0.43-1.15)",0.737214055150971
"Skin","1.29 (0.87-1.91)",0.737214055150971
