"Organ","HR (95% CI)","FDR"
"Adipose","0.83 (0.66-1.04)",0.308234288958996
"Brain","1.12 (0.91-1.38)",0.411134538764691
"Cardiovascular","1.48 (1.15-1.91)",0.0325473266146344
"Endocrine","1.38 (1.07-1.79)",0.069209299560307
"Gastrointestinal","1.12 (0.91-1.39)",0.411134538764691
"Immune","1.17 (0.94-1.45)",0.403826334696826
"Kidney and Bladder","1.45 (1.12-1.87)",0.0325473266146344
"Liver","1.23 (0.97-1.54)",0.307164929360348
"Lung","1.00 (0.79-1.25)",0.967819706797131
"Muscle","1.12 (0.92-1.37)",0.411134538764691
"Nerve","1.06 (0.85-1.33)",0.755029750628767
"Ovary","1.06 (0.75-1.49)",0.84532173817741
"Pancreas","1.16 (0.92-1.46)",0.411134538764691
"Prostate","1.03 (0.76-1.39)",0.919063510384586
"Skin","1.10 (0.88-1.38)",0.523023837936731
