"Organ","HR (95% CI)","FDR"
"Adipose","0.92 (0.72-1.17)",0.792239180475386
"Brain","1.15 (0.91-1.46)",0.586051711265848
"Cardiovascular","1.21 (0.95-1.55)",0.531227147322636
"Endocrine","1.21 (0.94-1.57)",0.531227147322636
"Gastrointestinal","1.13 (0.88-1.46)",0.701789654076874
"Immune","1.03 (0.82-1.31)",0.889809300355624
"Kidney and Bladder","1.19 (0.92-1.55)",0.552691794296037
"Liver","1.48 (1.15-1.91)",0.0336801824805921
"Lung","1.03 (0.81-1.32)",0.889809300355624
"Muscle","1.02 (0.84-1.25)",0.889809300355624
"Nerve","1.00 (0.79-1.25)",0.974150487392523
"Ovary","0.94 (0.65-1.36)",0.889809300355624
"Pancreas","1.08 (0.85-1.37)",0.792239180475386
"Prostate","1.61 (1.14-2.27)",0.0475033916702215
"Skin","0.92 (0.72-1.19)",0.792239180475386
