"Organ","HR (95% CI)","FDR"
"Adipose","1.05 (0.85-1.29)",0.703739823562041
"Brain","1.11 (0.91-1.35)",0.45152699324157
"Cardiovascular","1.30 (1.06-1.60)",0.046494378212596
"Endocrine","1.14 (0.93-1.39)",0.384649429988812
"Gastrointestinal","1.34 (1.09-1.65)",0.029520288277224
"Immune","1.16 (0.96-1.40)",0.324532519157018
"Kidney and Bladder","1.21 (0.98-1.49)",0.220464477044043
"Liver","1.49 (1.21-1.83)",0.00206227650724469
"Lung","1.04 (0.86-1.26)",0.703739823562041
"Muscle","1.13 (0.95-1.34)",0.353347191776328
"Nerve","1.04 (0.85-1.28)",0.703739823562041
"Ovary","0.87 (0.66-1.14)",0.45152699324157
"Pancreas","1.07 (0.89-1.29)",0.595235778762912
"Prostate","1.52 (1.14-2.02)",0.029520288277224
"Skin","0.91 (0.74-1.12)",0.498656351272109
