"Organ","HR (95% CI)","FDR"
"Adipose","1.73 (0.64-4.68)",0.407204858815371
"Brain","2.75 (0.96-7.90)",0.151139490586066
"Cardiovascular","1.29 (0.52-3.24)",0.674108766243609
"Endocrine","3.2e+00 (8.9e-01-1.1e+01)",0.161369321584377
"Gastrointestinal","1.04 (0.52-2.09)",0.91944276777039
"Immune","1.18 (0.47-2.92)",0.776143467195264
"Kidney and Bladder","6.2e+00 (9.9e-01-3.9e+01)",0.151139490586066
"Liver","6.9e+00 (1.2e+00-3.8e+01)",0.145893230407969
"Lung","1.40 (0.64-3.06)",0.496402163839887
"Muscle","1.68 (0.69-4.08)",0.407204858815371
"Nerve","1.78 (0.60-5.24)",0.407204858815371
"Ovary","8.2e+04 (6.6e+03-1.0e+06)",1.82573928680265e-17
"Pancreas","1.98 (0.82-4.79)",0.238379071761137
"Prostate","0.30 (0.09-0.99)",0.151139490586066
"Skin","3.30 (1.13-9.64)",0.145893230407969
