"Organ","HR (95% CI)","FDR"
"Adipose","0.95 (0.68-1.32)",0.874907434487484
"Brain","1.35 (0.99-1.84)",0.27492711092852
"Cardiovascular","0.96 (0.69-1.33)",0.874907434487484
"Endocrine","1.04 (0.75-1.44)",0.874907434487484
"Gastrointestinal","0.80 (0.58-1.11)",0.538378393933269
"Immune","1.19 (0.87-1.64)",0.603941195922539
"Kidney and Bladder","1.06 (0.73-1.52)",0.874907434487484
"Liver","1.43 (1.05-1.94)",0.167452047273977
"Lung","0.98 (0.74-1.29)",0.874907434487484
"Muscle","1.18 (0.89-1.57)",0.600655819844577
"Nerve","1.78 (1.26-2.51)",0.0167139842824444
"Ovary","1.08 (0.76-1.55)",0.874907434487484
"Pancreas","1.23 (0.91-1.68)",0.538378393933269
"Prostate","0.88 (0.52-1.48)",0.874907434487484
"Skin","0.94 (0.70-1.24)",0.874907434487484
