"Organ","HR (95% CI)","FDR"
"Adipose","1.25 (0.66-2.37)",0.745882460455379
"Brain","1.24 (0.61-2.54)",0.745882460455379
"Cardiovascular","1.21 (0.56-2.60)",0.745882460455379
"Endocrine","1.41 (0.52-3.82)",0.745882460455379
"Gastrointestinal","0.98 (0.43-2.20)",0.953426016035171
"Immune","0.70 (0.29-1.69)",0.745882460455379
"Kidney and Bladder","1.44 (0.50-4.17)",0.745882460455379
"Liver","1.63 (0.54-4.90)",0.745882460455379
"Lung","1.51 (0.73-3.09)",0.745882460455379
"Muscle","1.61 (0.69-3.75)",0.745882460455379
"Nerve","1.87 (0.83-4.18)",0.745882460455379
"Ovary","1.69 (0.37-7.61)",0.745882460455379
"Pancreas","0.85 (0.43-1.68)",0.745882460455379
"Prostate","0.00 (0.00-0.00)",1.72933969787321e-09
"Skin","0.88 (0.44-1.72)",0.748935774459889
