"Organ","HR (95% CI)","FDR"
"Adipose","1.09 (0.74-1.61)",0.751784923569638
"Brain","1.02 (0.75-1.40)",0.941762669413822
"Cardiovascular","1.72 (1.12-2.66)",0.0931040382169272
"Endocrine","1.24 (0.86-1.79)",0.520468884926488
"Gastrointestinal","1.64 (1.12-2.40)",0.0931040382169272
"Immune","0.91 (0.63-1.31)",0.751784923569638
"Kidney and Bladder","1.65 (1.09-2.52)",0.0931040382169272
"Liver","1.24 (0.84-1.83)",0.520468884926488
"Lung","1.17 (0.79-1.73)",0.656216500852247
"Muscle","1.01 (0.73-1.39)",0.941762669413822
"Nerve","1.10 (0.74-1.65)",0.751784923569638
"Ovary","1.78 (0.90-3.53)",0.289914714082316
"Pancreas","1.19 (0.83-1.72)",0.58074976796543
"Prostate","2.11 (0.83-5.34)",0.289914714082316
"Skin","1.36 (0.95-1.96)",0.289914714082316
