"Organ","HR (95% CI)","FDR"
"Adipose","0.81 (0.42-1.53)",0.794570105024091
"Brain","1.01 (0.62-1.64)",0.986205306670273
"Cardiovascular","1.18 (0.59-2.35)",0.823713010103849
"Endocrine","0.68 (0.31-1.49)",0.748150738384294
"Gastrointestinal","1.69 (0.85-3.37)",0.748150738384294
"Immune","0.57 (0.31-1.08)",0.748150738384294
"Kidney and Bladder","0.79 (0.44-1.42)",0.748150738384294
"Liver","1.63 (0.82-3.24)",0.748150738384294
"Lung","0.76 (0.43-1.33)",0.748150738384294
"Muscle","1.35 (0.82-2.21)",0.748150738384294
"Nerve","0.91 (0.51-1.61)",0.862039376199997
"Pancreas","1.00 (0.64-1.55)",0.986205306670273
"Prostate","0.86 (0.49-1.54)",0.823713010103849
"Skin","1.30 (0.71-2.38)",0.748150738384294
