"Organ","HR (95% CI)","FDR"
"Adipose","0.98 (0.79-1.21)",0.950350779123933
"Brain","1.06 (0.85-1.33)",0.931339829346832
"Cardiovascular","0.99 (0.76-1.27)",0.950350779123933
"Endocrine","1.08 (0.83-1.42)",0.931339829346832
"Gastrointestinal","1.02 (0.82-1.26)",0.950350779123933
"Immune","0.94 (0.76-1.17)",0.931339829346832
"Kidney and Bladder","1.11 (0.85-1.45)",0.931339829346832
"Liver","0.84 (0.67-1.05)",0.931339829346832
"Lung","0.95 (0.76-1.18)",0.931339829346832
"Muscle","0.90 (0.73-1.10)",0.931339829346832
"Nerve","1.03 (0.82-1.30)",0.950350779123933
"Ovary","0.81 (0.52-1.25)",0.931339829346832
"Pancreas","1.07 (0.86-1.34)",0.931339829346832
"Prostate","1.12 (0.82-1.53)",0.931339829346832
"Skin","1.01 (0.81-1.25)",0.950350779123933
