"Organ","HR (95% CI)","FDR"
"Adipose",NA,NA
"Brain",NA,NA
"Cardiovascular","0.49 (0.06-4.15)",0.573663341004003
"Endocrine",NA,NA
"Gastrointestinal",NA,NA
"Immune","1.69 (0.53-5.38)",0.471566391002397
"Kidney and Bladder",NA,NA
"Liver","0.01 (0.00-0.10)",0.000835412167039184
"Lung","0.48 (0.14-1.65)",0.384300023511755
"Muscle","0.24 (0.05-1.14)",0.1455036587724
"Nerve","0.06 (0.01-0.31)",0.00466613638730733
"Ovary","0.09 (0.01-0.62)",0.0368650907753218
"Pancreas","1.12 (0.31-4.03)",0.856622279403559
"Prostate","2.8e-02 (5.1e-05-1.6e+01)",0.384300023511755
"Skin","0.14 (0.03-0.62)",0.0318074989234451
