"Organ","HR (95% CI)","FDR"
"Adipose","4.8e+00 (2.1e-01-1.1e+02)",0.592360659352037
"Brain","0.21 (0.03-1.48)",0.52325588307075
"Cardiovascular","0.85 (0.10-6.86)",0.999172145946979
"Endocrine","1.3e+01 (2.0e-01-8.2e+02)",0.567211255711736
"Gastrointestinal","0.74 (0.21-2.64)",0.883038069992667
"Immune","0.27 (0.02-4.36)",0.592360659352037
"Kidney and Bladder","4.6e+00 (7.8e-01-2.7e+01)",0.52325588307075
"Liver","5.4e+00 (5.8e-01-5.1e+01)",0.52325588307075
"Lung","0.90 (0.29-2.86)",0.999172145946979
"Muscle","1.05 (0.37-2.97)",0.999172145946979
"Nerve","4.2e+00 (6.8e-01-2.5e+01)",0.52325588307075
"Ovary","2.4e+02 (0.0e+00-Inf)",0.999548085262911
"Pancreas","0.15 (0.01-2.47)",0.552319180132218
"Prostate","2.0e+00 (3.6e-01-1.1e+01)",0.629673699790946
"Skin","0.44 (0.10-1.91)",0.586324150044776
