"Organ","HR (95% CI)","FDR"
"Adipose","1.19 (0.78-1.81)",0.567064765800782
"Brain","1.59 (1.06-2.39)",0.107529941304969
"Cardiovascular","1.82 (1.05-3.17)",0.107529941304969
"Endocrine","1.35 (0.84-2.16)",0.40696543796656
"Gastrointestinal","1.29 (0.83-2.00)",0.427225233925053
"Immune","0.91 (0.60-1.37)",0.70537092029322
"Kidney and Bladder","1.49 (0.89-2.48)",0.314405511086229
"Liver","1.38 (0.87-2.19)",0.366105001224441
"Lung","1.69 (1.04-2.75)",0.107529941304969
"Muscle","1.69 (1.04-2.76)",0.107529941304969
"Nerve","2.76 (1.53-4.95)",0.0104349711345971
"Ovary","1.69 (0.57-4.99)",0.510905842871792
"Pancreas","1.11 (0.75-1.63)",0.685975569976788
"Prostate","0.97 (0.55-1.70)",0.911406129462853
"Skin","1.15 (0.72-1.83)",0.685975569976788
