"Organ","HR (95% CI)","FDR"
"Adipose","1.24 (0.50-3.09)",0.94607797285592
"Brain","3.2e+00 (8.1e-01-1.3e+01)",0.768596799370031
"Cardiovascular","0.93 (0.22-3.95)",0.969769810952462
"Endocrine","6.4e+00 (6.9e-01-6.0e+01)",0.768596799370031
"Gastrointestinal","1.82 (0.46-7.25)",0.852706832292224
"Immune","1.99 (0.57-6.95)",0.852706832292224
"Kidney and Bladder","2.6e+00 (3.9e-01-1.8e+01)",0.852706832292224
"Liver","1.83 (0.49-6.83)",0.852706832292224
"Lung","1.26 (0.53-2.97)",0.94607797285592
"Muscle","1.05 (0.40-2.76)",0.969769810952462
"Nerve","0.97 (0.26-3.64)",0.969769810952462
"Ovary","3.0e+00 (1.2e-02-7.3e+02)",0.94607797285592
"Pancreas","1.11 (0.42-2.94)",0.969769810952462
"Prostate","3.2e+00 (6.6e-02-1.6e+02)",0.94607797285592
"Skin","2.27 (0.63-8.13)",0.852706832292224
