"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.02-0.12)",0.00408209950345561
"Brain","0.16 (0.11-0.20)",1.66826556094648e-11
"Cardiovascular","0.22 (0.16-0.27)",5.68624619661527e-14
"Endocrine","0.19 (0.13-0.24)",4.49406315470791e-10
"Gastrointestinal","0.17 (0.12-0.23)",8.19578569427651e-10
"Immune","0.16 (0.11-0.21)",9.26991073832907e-10
"Kidney_urinary","0.24 (0.19-0.30)",1.67013505019082e-16
"Liver","0.17 (0.12-0.22)",1.01468879390151e-10
"Lung","0.14 (0.09-0.19)",4.17272992033971e-07
"Muscle","0.13 (0.08-0.18)",6.35295706028316e-06
"Nerve","0.14 (0.10-0.19)",5.39039211410452e-09
"Pancreas","0.14 (0.09-0.19)",8.13572220298443e-08
"Prostate","0.08 (0.03-0.13)",0.00246323783421867
"Skin","0.12 (0.07-0.17)",2.58149342631471e-06
