"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.91 (0.83-1.00)",0.0478197731246801
"Brain","0.81 (0.75-0.88)",2.7247245863208e-06
"Cardiovascular","0.80 (0.73-0.86)",3.21933598828542e-07
"Endocrine","0.87 (0.80-0.95)",0.00381392202384642
"Gastrointestinal","0.79 (0.73-0.85)",1.64937771065921e-08
"Immune","0.82 (0.76-0.90)",2.16919029563718e-05
"Kidney_urinary","0.78 (0.71-0.85)",1.84792227250865e-07
"Liver","0.76 (0.70-0.83)",3.84309893782383e-09
"Lung","0.84 (0.77-0.91)",0.000136833789449761
"Muscle","0.82 (0.75-0.89)",2.06957445524082e-05
"Nerve","0.80 (0.73-0.87)",1.56069011316728e-06
"Ovary","0.84 (0.76-0.92)",0.000567108771740246
"Pancreas","0.92 (0.84-1.00)",0.0478197731246801
"Skin","0.82 (0.75-0.89)",9.99031397749207e-06
