"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.43 (-0.55--0.30)",1.72948149254203e-10
"Brain","-0.34 (-0.38--0.31)",6.80648309432176e-70
"Cardiovascular","-0.34 (-0.38--0.30)",6.99315209031906e-63
"Endocrine","-0.38 (-0.45--0.31)",3.90135677620912e-26
"Gastrointestinal","-0.30 (-0.34--0.26)",4.07263372927541e-49
"Immune","-0.36 (-0.40--0.32)",6.11706490677465e-70
"Kidney_urinary","-0.38 (-0.42--0.34)",4.27197369922013e-67
"Liver","-0.28 (-0.32--0.24)",7.2284757638192e-43
"Lung","-0.33 (-0.41--0.26)",8.2039841528633e-19
"Muscle","-0.29 (-0.36--0.22)",7.09896537393723e-14
"Nerve","-0.33 (-0.39--0.28)",8.01908418814957e-34
"Pancreas","-0.31 (-0.35--0.27)",2.63086551560309e-48
"Prostate","-0.24 (-0.27--0.20)",3.50271740933352e-31
"Skin","-0.35 (-0.41--0.29)",7.13898508213736e-28
